host_time,record_type,stm_tick_ms,command_id,command,motor_a_delta,motor_b_delta
1788561464.7731462,ENC,47390,0,,0,0
1788561464.7930148,ENC,47410,0,,0,0
1788561464.812941,ENC,47430,0,,0,0
1788561464.832798,ENC,47450,0,,0,0
1788561464.8527436,ENC,47470,0,,0,0
1788561464.8726377,ENC,47490,0,,0,0
1788561464.8925369,ENC,47510,0,,0,0
1788561464.912471,ENC,47530,0,,0,0
1788561464.9323795,ENC,47550,0,,0,0
1788561464.9522955,ENC,47570,0,,0,0
1788561464.9721751,ENC,47590,0,,0,0
1788561464.992086,ENC,47610,0,,0,0
1788561465.0119777,ENC,47630,0,,0,0
1788561465.0318773,ENC,47650,0,,0,0
1788561465.051819,ENC,47670,0,,0,0
1788561465.0716715,ENC,47690,0,,0,0
1788561465.0916746,ENC,47710,0,,0,0
1788561465.1115546,ENC,47730,0,,0,0
1788561465.1314325,ENC,47750,0,,0,0
1788561465.151305,ENC,47770,0,,0,0
1788561465.1712422,ENC,47790,0,,0,0
1788561465.1911814,ENC,47810,0,,0,0
1788561465.2110708,ENC,47830,0,,0,0
1788561465.2310934,ENC,47850,0,,0,0
1788561465.2509174,ENC,47870,0,,0,0
1788561465.2708127,ENC,47890,0,,0,0
1788561465.290735,ENC,47910,0,,0,0
1788561465.3106601,ENC,47930,0,,0,0
1788561465.3305826,ENC,47950,0,,0,0
1788561465.3504794,ENC,47970,0,,0,0
1788561465.3705497,ENC,47990,0,,0,0
1788561465.3903255,ENC,48010,0,,0,0
1788561465.4102354,ENC,48030,0,,0,0
1788561465.4301558,ENC,48050,0,,0,0
1788561465.4500773,ENC,48070,0,,0,0
1788561465.4699526,ENC,48090,0,,0,0
1788561465.489889,ENC,48110,0,,0,0
1788561465.5100255,ENC,48130,0,,0,0
1788561465.5297177,ENC,48150,0,,0,0
1788561465.5496616,ENC,48170,0,,0,0
1788561465.5697136,ENC,48190,0,,0,0
1788561465.5894978,ENC,48210,0,,0,0
1788561465.6094217,ENC,48230,0,,0,0
1788561465.6293077,ENC,48250,0,,0,0
1788561465.6492467,ENC,48270,0,,0,0
1788561465.6691601,ENC,48290,0,,0,0
1788561465.6890647,ENC,48310,0,,0,0
1788561465.7090719,ENC,48330,0,,0,0
1788561465.7289119,ENC,48350,0,,0,0
1788561465.7487879,ENC,48370,0,,0,0
